departure_airport,arrival_airport,flight_duration,start_datetime
7,1,190,2024-11-22T20:20:00
7,2,820,2024-1-2T14:9:00
7,3,530,2024-10-13T6:36:00
7,4,830,2024-10-15T12:51:00
7,5,350,2024-1-23T10:39:00
7,6,150,2024-1-18T2:33:00
7,8,540,2024-2-3T4:32:00
7,9,340,2024-12-12T7:55:00
7,10,680,2024-3-12T17:38:00
8,1,320,2024-5-1T5:43:00
8,2,350,2024-12-22T5:3:00
8,3,510,2024-3-18T7:38:00
8,4,290,2024-2-15T23:13:00
8,5,280,2024-1-10T6:44:00
8,6,350,2024-6-14T19:57:00
8,7,540,2024-9-11T10:4:00
8,9,420,2024-4-6T17:37:00
8,10,680,2024-3-11T2:17:00
9,1,470,2024-10-21T22:21:00
9,2,540,2024-6-4T17:2:00
9,3,620,2024-7-13T11:28:00
9,4,450,2024-11-5T7:20:00
9,5,910,2024-12-2T2:8:00
9,6,810,2024-4-3T17:11:00
9,7,340,2024-5-8T23:21:00
9,8,420,2024-2-27T12:55:00
9,10,320,2024-4-11T6:15:00
10,1,220,2024-10-29T9:24:00
10,2,170,2024-1-16T14:11:00
10,3,410,2024-2-20T19:9:00
10,4,810,2024-11-30T5:3:00
10,5,280,2024-5-6T7:45:00
10,6,680,2024-3-9T6:13:00
10,7,680,2024-5-16T11:29:00
10,8,680,2024-2-29T4:11:00
10,9,320,2024-3-22T11:14:00
1,2,300,2024-11-1T14:24:00
1,3,420,2024-3-10T2:30:00
1,4,140,2024-12-8T13:55:00
1,5,620,2024-4-3T20:13:00
1,6,280,2024-6-15T11:49:00
1,7,190,2024-5-3T8:56:00
1,8,320,2024-10-29T21:6:00
1,9,470,2024-7-1T17:57:00
1,10,220,2024-9-28T14:36:00
2,1,300,2024-2-21T14:40:00
2,3,280,2024-10-22T11:53:00
2,4,340,2024-5-24T4:7:00
2,5,710,2024-7-11T2:35:00
2,6,290,2024-4-3T17:55:00
2,7,820,2024-2-3T9:25:00
2,8,350,2024-4-3T0:13:00
2,9,540,2024-10-25T5:3:00
2,10,170,2024-10-3T7:34:00
3,1,420,2024-2-23T8:35:00
3,2,280,2024-8-8T16:18:00
3,4,720,2024-1-10T14:22:00
3,5,280,2024-5-19T17:38:00
3,6,690,2024-5-30T1:40:00
3,7,530,2024-5-3T18:56:00
3,8,510,2024-7-8T16:54:00
3,9,620,2024-2-24T8:48:00
3,10,410,2024-11-17T12:33:00
4,1,140,2024-3-23T20:2:00
4,2,340,2024-7-11T3:27:00
4,3,720,2024-4-23T8:14:00
4,5,320,2024-8-27T6:32:00
4,6,640,2024-5-2T2:7:00
4,7,830,2024-4-5T7:38:00
4,8,290,2024-4-29T21:40:00
4,9,450,2024-3-3T7:39:00
4,10,810,2024-11-13T10:13:00
5,1,620,2024-6-25T8:25:00
5,2,710,2024-10-27T16:10:00
5,3,280,2024-11-12T11:21:00
5,4,320,2024-4-5T23:7:00
5,6,470,2024-3-20T11:30:00
5,7,350,2024-2-24T12:26:00
5,8,280,2024-10-5T20:8:00
5,9,910,2024-5-29T12:3:00
5,10,280,2024-2-10T17:33:00
6,1,280,2024-9-6T13:51:00
6,2,290,2024-10-11T20:20:00
6,3,690,2024-7-12T14:48:00
6,4,640,2024-11-17T20:46:00
6,5,470,2024-6-4T10:16:00
6,7,150,2024-5-23T9:45:00
6,8,350,2024-5-4T8:9:00
6,9,810,2024-4-28T2:28:00
6,10,680,2024-1-20T15:47:00
7,1,190,2024-1-18T12:53:00
7,2,820,2024-10-4T12:26:00
7,3,530,2024-6-12T21:31:00
7,4,830,2024-7-22T18:50:00
7,5,350,2024-11-28T6:5:00
7,6,150,2024-2-20T12:26:00
7,8,540,2024-2-2T3:59:00
7,9,340,2024-8-29T2:57:00
7,10,680,2024-1-1T1:40:00
8,1,320,2024-8-30T7:13:00
8,2,350,2024-1-19T15:12:00
8,3,510,2024-5-1T7:10:00
8,4,290,2024-10-27T13:40:00
8,5,280,2024-3-11T6:27:00
8,6,350,2024-1-22T13:34:00
8,7,540,2024-6-5T21:43:00
8,9,420,2024-9-9T0:37:00
8,10,680,2024-2-6T3:56:00
9,1,470,2024-12-18T15:30:00
9,2,540,2024-5-10T21:59:00
9,3,620,2024-4-9T17:47:00
9,4,450,2024-2-25T6:22:00
9,5,910,2024-11-18T21:59:00
9,6,810,2024-6-5T3:22:00
9,7,340,2024-4-23T18:13:00
9,8,420,2024-4-7T23:3:00
9,10,320,2024-3-20T1:56:00
10,1,220,2024-10-2T12:5:00
10,2,170,2024-8-20T13:9:00
10,3,410,2024-2-5T22:23:00
10,4,810,2024-7-3T19:35:00
10,5,280,2024-7-3T17:52:00
10,6,680,2024-4-25T22:39:00
10,7,680,2024-8-29T18:27:00
10,8,680,2024-6-2T12:23:00
10,9,320,2024-12-23T20:25:00
1,2,300,2024-2-22T16:27:00
1,3,420,2024-10-4T20:31:00
1,4,140,2024-8-20T16:16:00
1,5,620,2024-7-7T9:19:00
1,6,280,2024-2-21T19:46:00
1,7,190,2024-5-30T11:48:00
1,8,320,2024-7-9T5:23:00
1,9,470,2024-9-5T5:58:00
1,10,220,2024-2-17T14:56:00
2,1,300,2024-9-18T19:25:00
2,3,280,2024-8-17T1:22:00
2,4,340,2024-1-14T18:40:00
2,5,710,2024-11-26T16:27:00
2,6,290,2024-2-10T10:5:00
2,7,820,2024-10-10T9:45:00
2,8,350,2024-7-1T22:19:00
2,9,540,2024-6-14T0:9:00
2,10,170,2024-3-30T22:5:00
3,1,420,2024-10-15T0:22:00
3,2,280,2024-12-19T18:26:00
3,4,720,2024-11-1T14:15:00
3,5,280,2024-11-15T12:35:00
3,6,690,2024-7-2T8:55:00
3,7,530,2024-1-5T23:32:00
3,8,510,2024-6-24T3:49:00
3,9,620,2024-9-8T10:32:00
3,10,410,2024-2-22T16:15:00
4,1,140,2024-9-18T9:33:00
4,2,340,2024-10-26T4:35:00
4,3,720,2024-4-12T18:40:00
4,5,320,2024-8-16T13:11:00
4,6,640,2024-7-9T3:47:00
4,7,830,2024-1-12T14:32:00
4,8,290,2024-4-29T3:15:00
4,9,450,2024-6-18T17:3:00
4,10,810,2024-12-4T1:50:00
5,1,620,2024-12-2T22:49:00
5,2,710,2024-2-5T5:33:00
5,3,280,2024-7-8T22:28:00
5,4,320,2024-1-16T6:51:00
5,6,470,2024-5-6T4:29:00
5,7,350,2024-4-22T22:16:00
5,8,280,2024-3-6T16:19:00
5,9,910,2024-12-10T12:58:00
5,10,280,2024-2-20T15:7:00
6,1,280,2024-1-16T0:46:00
6,2,290,2024-10-25T22:54:00
6,3,690,2024-7-21T21:7:00
6,4,640,2024-1-21T22:5:00
6,5,470,2024-5-27T5:58:00
6,7,150,2024-9-28T18:47:00
6,8,350,2024-11-17T16:46:00
6,9,810,2024-1-16T6:18:00
6,10,680,2024-11-29T18:37:00
7,1,190,2024-9-23T2:1:00
7,2,820,2024-12-10T6:58:00
7,3,530,2024-7-22T23:49:00
7,4,830,2024-12-11T19:56:00
7,5,350,2024-6-10T21:20:00
7,6,150,2024-12-12T1:55:00
7,8,540,2024-5-26T8:3:00
7,9,340,2024-12-2T0:34:00
7,10,680,2024-9-22T19:58:00
8,1,320,2024-7-22T2:35:00
8,2,350,2024-5-3T5:29:00
8,3,510,2024-3-25T23:30:00
8,4,290,2024-3-1T0:33:00
8,5,280,2024-5-1T18:53:00
8,6,350,2024-2-7T7:51:00
8,7,540,2024-8-14T22:43:00
8,9,420,2024-9-26T19:14:00
8,10,680,2024-7-9T18:11:00
9,1,470,2024-2-8T14:44:00
9,2,540,2024-1-15T4:31:00
9,3,620,2024-12-27T21:33:00
9,4,450,2024-11-14T0:41:00
9,5,910,2024-8-23T17:58:00
9,6,810,2024-1-30T18:35:00
9,7,340,2024-3-30T6:16:00
9,8,420,2024-10-2T5:13:00
9,10,320,2024-11-14T22:54:00
10,1,220,2024-3-18T18:58:00
10,2,170,2024-10-18T8:32:00
10,3,410,2024-5-3T10:13:00
10,4,810,2024-11-11T10:2:00
10,5,280,2024-12-24T12:12:00
10,6,680,2024-4-26T13:56:00
10,7,680,2024-3-7T16:45:00
10,8,680,2024-3-14T5:9:00
10,9,320,2024-1-22T11:19:00
1,2,300,2024-4-26T15:36:00
1,3,420,2024-6-19T4:40:00
1,4,140,2024-4-25T20:4:00
1,5,620,2024-8-12T17:26:00
1,6,280,2024-10-20T18:53:00
1,7,190,2024-1-6T6:22:00
1,8,320,2024-10-21T6:59:00
1,9,470,2024-4-18T2:18:00
1,10,220,2024-12-25T17:53:00
2,1,300,2024-8-1T8:18:00
2,3,280,2024-6-1T2:54:00
2,4,340,2024-2-1T3:50:00
2,5,710,2024-11-28T20:18:00
2,6,290,2024-11-27T22:3:00
2,7,820,2024-9-3T16:41:00
2,8,350,2024-5-7T21:49:00
2,9,540,2024-11-6T14:37:00
2,10,170,2024-1-15T11:32:00
3,1,420,2024-3-2T22:42:00
3,2,280,2024-2-10T15:37:00
3,4,720,2024-1-29T19:17:00
3,5,280,2024-6-25T12:9:00
3,6,690,2024-12-14T11:31:00
3,7,530,2024-3-29T15:23:00
3,8,510,2024-1-20T20:34:00
3,9,620,2024-9-29T11:34:00
3,10,410,2024-3-13T11:4:00
4,1,140,2024-8-18T5:40:00
4,2,340,2024-5-10T3:17:00
4,3,720,2024-5-30T2:51:00
4,5,320,2024-10-2T11:3:00
4,6,640,2024-8-16T16:56:00
4,7,830,2024-3-26T9:7:00
4,8,290,2024-6-26T8:44:00
4,9,450,2024-1-27T4:20:00
4,10,810,2024-3-21T12:55:00
5,1,620,2024-10-24T4:39:00
5,2,710,2024-11-27T19:44:00
5,3,280,2024-3-22T6:54:00
5,4,320,2024-2-9T5:35:00
5,6,470,2024-2-4T0:13:00
5,7,350,2024-3-23T5:41:00
5,8,280,2024-8-8T10:34:00
5,9,910,2024-8-27T13:44:00
5,10,280,2024-2-21T19:30:00
6,1,280,2024-7-16T5:19:00
6,2,290,2024-11-11T8:28:00
6,3,690,2024-7-22T1:52:00
6,4,640,2024-3-26T13:40:00
6,5,470,2024-2-18T4:27:00
6,7,150,2024-10-2T9:7:00
6,8,350,2024-3-25T3:17:00
6,9,810,2024-6-28T18:3:00
6,10,680,2024-2-26T10:22:00
7,1,190,2024-1-27T23:31:00
7,2,820,2024-9-30T13:57:00
7,3,530,2024-1-5T17:30:00
7,4,830,2024-8-26T22:18:00
7,5,350,2024-4-15T2:19:00
7,6,150,2024-9-18T0:48:00
7,8,540,2024-5-28T10:16:00
7,9,340,2024-2-28T10:18:00
7,10,680,2024-5-27T17:34:00
8,1,320,2024-9-4T2:52:00
8,2,350,2024-2-4T4:9:00
8,3,510,2024-2-6T9:38:00
8,4,290,2024-4-6T16:29:00
8,5,280,2024-6-1T9:18:00
8,6,350,2024-10-28T22:11:00
8,7,540,2024-11-18T16:16:00
8,9,420,2024-8-16T5:34:00
8,10,680,2024-10-22T2:55:00
9,1,470,2024-1-11T1:26:00
9,2,540,2024-5-2T15:33:00
9,3,620,2024-11-12T17:29:00
9,4,450,2024-4-23T1:25:00
9,5,910,2024-11-28T19:56:00
9,6,810,2024-3-9T23:52:00
9,7,340,2024-9-12T16:1:00
9,8,420,2024-11-28T18:47:00
9,10,320,2024-7-18T7:13:00
10,1,220,2024-12-5T14:44:00
10,2,170,2024-9-29T10:13:00
10,3,410,2024-3-22T3:31:00
10,4,810,2024-9-27T5:45:00
10,5,280,2024-2-10T18:48:00
10,6,680,2024-4-11T18:17:00
10,7,680,2024-5-7T21:19:00
10,8,680,2024-3-1T20:44:00
10,9,320,2024-8-8T3:7:00
1,2,300,2024-5-6T21:20:00
1,3,420,2024-10-4T10:34:00
1,4,140,2024-5-8T11:54:00
1,5,620,2024-2-26T6:44:00
1,6,280,2024-7-9T21:33:00
1,7,190,2024-1-14T8:1:00
1,8,320,2024-4-5T18:38:00
1,9,470,2024-8-3T20:47:00
1,10,220,2024-8-17T17:35:00
2,1,300,2024-12-21T6:5:00
2,3,280,2024-10-4T9:13:00
2,4,340,2024-3-19T3:37:00
2,5,710,2024-7-30T11:59:00
2,6,290,2024-8-17T20:46:00
2,7,820,2024-2-26T21:10:00
2,8,350,2024-4-22T6:41:00
2,9,540,2024-4-16T17:30:00
2,10,170,2024-8-15T19:27:00
3,1,420,2024-3-30T10:9:00
3,2,280,2024-9-4T2:26:00
3,4,720,2024-4-6T16:17:00
3,5,280,2024-4-24T11:46:00
3,6,690,2024-4-11T2:4:00
3,7,530,2024-9-1T22:38:00
3,8,510,2024-4-24T7:28:00
3,9,620,2024-12-26T18:9:00
3,10,410,2024-6-24T18:40:00
4,1,140,2024-6-8T15:25:00
4,2,340,2024-7-30T9:32:00
4,3,720,2024-12-15T0:39:00
4,5,320,2024-4-10T20:2:00
4,6,640,2024-3-17T15:47:00
4,7,830,2024-3-18T13:42:00
4,8,290,2024-4-11T12:17:00
4,9,450,2024-2-11T2:13:00
4,10,810,2024-6-25T8:5:00
5,1,620,2024-1-17T12:44:00
5,2,710,2024-11-3T18:52:00
5,3,280,2024-6-22T11:28:00
5,4,320,2024-11-12T6:20:00
5,6,470,2024-3-7T4:25:00
5,7,350,2024-4-18T13:23:00
5,8,280,2024-12-26T0:39:00
5,9,910,2024-1-23T18:51:00
5,10,280,2024-6-30T23:59:00
6,1,280,2024-10-21T10:39:00
6,2,290,2024-5-17T13:6:00
6,3,690,2024-6-30T9:5:00
6,4,640,2024-1-24T7:49:00
6,5,470,2024-9-16T5:28:00
6,7,150,2024-4-30T21:28:00
6,8,350,2024-9-1T19:3:00
6,9,810,2024-10-28T21:32:00
6,10,680,2024-6-1T16:45:00
7,1,190,2024-10-11T20:45:00
7,2,820,2024-2-27T9:56:00
7,3,530,2024-9-2T11:20:00
7,4,830,2024-4-15T4:58:00
7,5,350,2024-8-16T4:8:00
7,6,150,2024-6-26T5:33:00
7,8,540,2024-9-24T4:12:00
7,9,340,2024-1-27T4:9:00
7,10,680,2024-12-20T10:48:00
8,1,320,2024-5-20T18:55:00
8,2,350,2024-10-7T7:58:00
8,3,510,2024-11-12T22:58:00
8,4,290,2024-9-23T6:44:00
8,5,280,2024-5-15T15:2:00
8,6,350,2024-5-8T5:56:00
8,7,540,2024-12-5T11:26:00
8,9,420,2024-11-15T17:5:00
8,10,680,2024-11-15T11:8:00
9,1,470,2024-12-25T8:54:00
9,2,540,2024-11-19T4:41:00
9,3,620,2024-2-17T11:20:00
9,4,450,2024-12-21T17:20:00
9,5,910,2024-10-27T1:48:00
9,6,810,2024-4-18T21:7:00
9,7,340,2024-12-17T19:8:00
9,8,420,2024-5-20T6:56:00
9,10,320,2024-10-10T22:5:00
10,1,220,2024-7-29T7:7:00
10,2,170,2024-3-5T3:24:00
10,3,410,2024-4-14T11:57:00
10,4,810,2024-1-21T13:22:00
10,5,280,2024-9-14T18:27:00
10,6,680,2024-10-5T3:52:00
10,7,680,2024-11-5T16:39:00
10,8,680,2024-7-15T8:43:00
10,9,320,2024-3-19T20:1:00
1,2,300,2024-6-4T9:45:00
1,3,420,2024-8-27T1:34:00
1,4,140,2024-6-7T23:39:00
1,5,620,2024-1-15T3:32:00
1,6,280,2024-3-23T1:35:00
1,7,190,2024-11-4T0:31:00
1,8,320,2024-3-5T16:53:00
1,9,470,2024-5-26T11:48:00
1,10,220,2024-3-15T11:4:00
2,1,300,2024-6-28T21:1:00
2,3,280,2024-2-5T14:52:00
2,4,340,2024-3-29T13:38:00
2,5,710,2024-11-5T17:9:00
2,6,290,2024-5-5T4:5:00
2,7,820,2024-6-5T18:6:00
2,8,350,2024-5-8T3:33:00
2,9,540,2024-6-6T2:39:00
2,10,170,2024-7-20T21:48:00
3,1,420,2024-4-24T21:34:00
3,2,280,2024-1-19T13:24:00
3,4,720,2024-10-8T9:39:00
3,5,280,2024-11-13T15:35:00
3,6,690,2024-12-8T12:1:00
3,7,530,2024-9-7T17:6:00
3,8,510,2024-4-28T17:20:00
3,9,620,2024-8-9T11:46:00
3,10,410,2024-8-2T19:48:00
4,1,140,2024-6-12T3:49:00
4,2,340,2024-5-9T0:39:00
4,3,720,2024-5-3T6:55:00
4,5,320,2024-9-23T16:53:00
4,6,640,2024-1-1T12:31:00
4,7,830,2024-7-6T8:3:00
4,8,290,2024-10-22T11:13:00
4,9,450,2024-11-14T4:34:00
4,10,810,2024-12-30T13:51:00
5,1,620,2024-5-1T13:22:00
5,2,710,2024-6-16T10:56:00
5,3,280,2024-10-27T7:8:00
5,4,320,2024-10-8T21:33:00
5,6,470,2024-2-2T11:43:00
5,7,350,2024-3-14T5:33:00
5,8,280,2024-12-30T11:37:00
5,9,910,2024-5-2T5:44:00
5,10,280,2024-6-14T7:13:00
6,1,280,2024-5-26T2:42:00
6,2,290,2024-10-22T4:14:00
6,3,690,2024-8-30T5:23:00
6,4,640,2024-7-21T18:31:00
6,5,470,2024-3-22T9:3:00
6,7,150,2024-9-19T9:42:00
6,8,350,2024-6-3T14:40:00
6,9,810,2024-5-3T10:54:00
6,10,680,2024-10-1T16:29:00
7,1,190,2024-3-22T17:5:00
7,2,820,2024-10-11T9:49:00
7,3,530,2024-4-9T15:54:00
7,4,830,2024-10-10T21:7:00
7,5,350,2024-1-6T7:18:00
7,6,150,2024-11-8T21:10:00
7,8,540,2024-12-8T18:4:00
7,9,340,2024-7-26T0:47:00
7,10,680,2024-7-8T0:18:00
8,1,320,2024-2-24T4:33:00
8,2,350,2024-2-10T19:22:00
8,3,510,2024-3-7T20:18:00
8,4,290,2024-11-13T0:12:00
8,5,280,2024-4-29T17:19:00
8,6,350,2024-8-5T4:18:00
8,7,540,2024-7-23T10:55:00
8,9,420,2024-5-23T2:41:00
8,10,680,2024-12-10T9:43:00
9,1,470,2024-11-5T6:17:00
9,2,540,2024-7-1T15:26:00
9,3,620,2024-12-11T23:2:00
9,4,450,2024-9-15T11:1:00
9,5,910,2024-1-9T19:10:00
9,6,810,2024-1-14T20:56:00
9,7,340,2024-8-13T22:54:00
9,8,420,2024-4-20T11:16:00
9,10,320,2024-5-11T23:51:00
10,1,220,2024-2-6T3:26:00
10,2,170,2024-9-30T3:12:00
10,3,410,2024-12-15T23:42:00
10,4,810,2024-1-10T9:6:00
10,5,280,2024-6-8T6:56:00
10,6,680,2024-4-9T15:16:00
10,7,680,2024-1-17T20:31:00
10,8,680,2024-9-22T3:10:00
10,9,320,2024-3-28T21:36:00
1,2,300,2024-5-24T19:18:00
1,3,420,2024-4-22T16:12:00
1,4,140,2024-2-1T0:12:00
1,5,620,2024-2-22T9:45:00
1,6,280,2024-3-15T3:5:00
1,7,190,2024-7-13T8:5:00
1,8,320,2024-1-11T19:8:00
1,9,470,2024-12-26T18:20:00
1,10,220,2024-4-7T5:1:00
2,1,300,2024-11-16T4:16:00
2,3,280,2024-5-5T14:16:00
2,4,340,2024-7-15T15:43:00
2,5,710,2024-6-4T21:59:00
2,6,290,2024-1-12T14:12:00
2,7,820,2024-8-20T21:53:00
2,8,350,2024-5-22T19:1:00
2,9,540,2024-6-5T22:16:00
2,10,170,2024-5-1T4:7:00
3,1,420,2024-4-14T21:9:00
3,2,280,2024-4-11T7:53:00
3,4,720,2024-12-15T19:28:00
3,5,280,2024-10-17T20:19:00
3,6,690,2024-2-28T5:24:00
3,7,530,2024-1-9T10:24:00
3,8,510,2024-7-20T8:31:00
3,9,620,2024-4-26T21:4:00
3,10,410,2024-6-26T5:28:00
4,1,140,2024-6-10T10:2:00
4,2,340,2024-1-7T5:10:00
4,3,720,2024-1-23T4:56:00
4,5,320,2024-12-24T15:16:00
4,6,640,2024-8-14T7:33:00
4,7,830,2024-5-5T0:57:00
4,8,290,2024-1-26T21:41:00
4,9,450,2024-5-19T16:10:00
4,10,810,2024-7-24T5:21:00
5,1,620,2024-8-10T6:17:00
5,2,710,2024-9-15T3:50:00
5,3,280,2024-5-21T4:39:00
5,4,320,2024-6-7T11:10:00
5,6,470,2024-9-22T10:38:00
5,7,350,2024-5-24T20:36:00
5,8,280,2024-11-22T1:25:00
5,9,910,2024-8-17T2:5:00
5,10,280,2024-2-18T19:26:00
6,1,280,2024-2-14T15:16:00
6,2,290,2024-9-22T19:13:00
6,3,690,2024-12-21T6:56:00
6,4,640,2024-12-18T22:43:00
6,5,470,2024-10-19T21:5:00
6,7,150,2024-4-23T9:40:00
6,8,350,2024-3-26T16:48:00
6,9,810,2024-5-3T1:10:00
6,10,680,2024-5-12T12:25:00
7,1,190,2024-2-29T6:3:00
7,2,820,2024-1-19T15:33:00
7,3,530,2024-6-15T15:42:00
7,4,830,2024-1-5T8:18:00
7,5,350,2024-9-4T9:8:00
7,6,150,2024-12-24T19:30:00
7,8,540,2024-4-19T10:54:00
7,9,340,2024-12-27T7:26:00
7,10,680,2024-5-5T17:2:00
8,1,320,2024-6-10T3:1:00
8,2,350,2024-3-22T11:58:00
8,3,510,2024-4-12T5:47:00
8,4,290,2024-7-30T13:29:00
8,5,280,2024-1-25T12:18:00
8,6,350,2024-3-9T3:23:00
8,7,540,2024-7-26T5:31:00
8,9,420,2024-10-12T22:37:00
8,10,680,2024-4-14T17:7:00
9,1,470,2024-5-19T21:35:00
9,2,540,2024-4-29T5:17:00
9,3,620,2024-5-5T10:40:00
9,4,450,2024-4-21T16:23:00
9,5,910,2024-9-21T12:44:00
9,6,810,2024-2-15T10:41:00
9,7,340,2024-10-6T14:26:00
9,8,420,2024-4-25T18:59:00
9,10,320,2024-5-19T12:25:00
10,1,220,2024-9-6T3:19:00
10,2,170,2024-10-15T3:8:00
10,3,410,2024-5-24T12:45:00
10,4,810,2024-9-10T2:6:00
10,5,280,2024-9-24T4:20:00
10,6,680,2024-11-19T5:51:00
10,7,680,2024-12-14T7:26:00
10,8,680,2024-1-9T5:21:00
10,9,320,2024-9-29T10:36:00
1,2,300,2024-4-7T19:23:00
1,3,420,2024-12-2T18:34:00
1,4,140,2024-5-1T16:48:00
1,5,620,2024-5-10T19:47:00
1,6,280,2024-1-19T19:21:00
1,7,190,2024-11-26T2:57:00
1,8,320,2024-7-11T12:50:00
1,9,470,2024-11-15T13:26:00
1,10,220,2024-1-18T10:39:00
2,1,300,2024-11-11T23:23:00
2,3,280,2024-1-28T4:14:00
2,4,340,2024-1-9T17:19:00
2,5,710,2024-9-21T9:24:00
2,6,290,2024-2-29T23:3:00
2,7,820,2024-6-4T6:43:00
2,8,350,2024-6-19T13:21:00
2,9,540,2024-11-10T8:34:00
2,10,170,2024-3-10T17:43:00
3,1,420,2024-7-21T0:3:00
3,2,280,2024-2-30T13:25:00
3,4,720,2024-9-29T11:27:00
3,5,280,2024-4-26T4:10:00
3,6,690,2024-4-2T17:32:00
3,7,530,2024-6-1T23:2:00
3,8,510,2024-10-18T0:8:00
3,9,620,2024-11-8T6:54:00
3,10,410,2024-7-13T0:20:00
4,1,140,2024-7-10T14:37:00
4,2,340,2024-1-18T13:18:00
4,3,720,2024-3-13T9:21:00
4,5,320,2024-11-25T17:10:00
4,6,640,2024-8-27T1:45:00
4,7,830,2024-5-16T2:57:00
4,8,290,2024-1-5T15:59:00
4,9,450,2024-11-27T17:59:00
4,10,810,2024-11-7T0:42:00
5,1,620,2024-1-1T11:14:00
5,2,710,2024-11-18T20:31:00
5,3,280,2024-12-8T14:53:00
5,4,320,2024-4-8T22:16:00
5,6,470,2024-1-3T19:10:00
5,7,350,2024-10-6T1:2:00
5,8,280,2024-8-18T2:8:00
5,9,910,2024-2-18T18:13:00
5,10,280,2024-7-20T3:31:00
6,1,280,2024-5-10T16:50:00
6,2,290,2024-8-23T23:56:00
6,3,690,2024-10-19T8:48:00
6,4,640,2024-3-8T2:49:00
6,5,470,2024-11-28T13:58:00
6,7,150,2024-1-17T22:46:00
6,8,350,2024-3-29T19:1:00
6,9,810,2024-6-29T14:40:00
6,10,680,2024-7-15T0:52:00
7,1,190,2024-6-19T16:21:00
7,2,820,2024-3-18T2:13:00
7,3,530,2024-4-27T17:39:00
7,4,830,2024-3-26T11:3:00
7,5,350,2024-2-9T8:38:00
7,6,150,2024-1-22T1:50:00
7,8,540,2024-6-7T16:58:00
7,9,340,2024-2-16T17:34:00
7,10,680,2024-2-11T9:35:00
8,1,320,2024-8-15T13:8:00
8,2,350,2024-12-3T15:9:00
8,3,510,2024-12-11T4:43:00
8,4,290,2024-3-19T9:40:00
8,5,280,2024-8-18T12:41:00
8,6,350,2024-4-16T20:51:00
8,7,540,2024-3-10T17:55:00
8,9,420,2024-1-28T3:36:00
8,10,680,2024-1-13T11:37:00
9,1,470,2024-11-26T6:53:00
9,2,540,2024-11-5T7:4:00
9,3,620,2024-9-25T4:45:00
9,4,450,2024-6-14T5:50:00
9,5,910,2024-2-14T22:25:00
9,6,810,2024-8-1T6:35:00
9,7,340,2024-4-20T20:32:00
9,8,420,2024-8-28T12:40:00
9,10,320,2024-1-18T13:51:00
10,1,220,2024-12-18T23:1:00
10,2,170,2024-4-25T10:29:00
10,3,410,2024-7-6T20:2:00
10,4,810,2024-9-21T5:25:00
10,5,280,2024-5-29T19:16:00
10,6,680,2024-3-16T3:3:00
10,7,680,2024-6-15T17:42:00
10,8,680,2024-9-24T9:58:00
10,9,320,2024-9-20T1:13:00
1,2,300,2024-5-29T20:33:00
1,3,420,2024-3-8T5:30:00
1,4,140,2024-2-2T12:6:00
1,5,620,2024-1-14T11:18:00
1,6,280,2024-10-30T1:42:00
1,7,190,2024-12-16T4:19:00
1,8,320,2024-12-17T5:47:00
1,9,470,2024-11-2T19:52:00
1,10,220,2024-2-17T22:39:00
2,1,300,2024-6-7T14:58:00
2,3,280,2024-3-15T23:13:00
2,4,340,2024-7-24T15:4:00
2,5,710,2024-4-29T19:29:00
2,6,290,2024-10-19T3:6:00
